Age Group,,,,
-  0 to 17,1,0,0,1
-  18 to 44,44,2,11,57
-  45 to 64,180,9,29,218
-  65 to 74,182,0,39,221
-  75 and over,341,3,91,435
Sex,,,,
-  Female,285,4,63,352
-  Male,462,10,107,579
-  Unknown,1,0,0,1
Borough,,,,
-  Bronx,210,1,19,230
-  Brooklyn,163,4,48,215
-  Manhattan,92,1,26,119
-  Queens,238,8,63,309
-  Staten Island,44,0,14,58
-  Unknown,1,0,0,1
Total,748,14,170,932
